START BATCH CODE;START EVENT MONTH;START EVENT CALENDAR WEEK;END BATCH CODE;MATERIAL;END TIME;END EVENT MONTH;END EVENT CALENDAR WEEK;YEAR WEEK;CYCLE TIME;TARGET CYCLE TIME
S0001;12;50;E0001;PRODUCT T;2022-10-17;10;42;2022 - W42;315;100
S0002;8;32;E0002;PRODUCT N;2022-10-19;10;42;2022 - W42;441;100
S0003;4;16;E0003;PRODUCT T;2022-10-12;10;41;2022 - W41;182;100
S0004;5;20;E0004;PRODUCT N;2022-10-17;10;42;2022 - W42;160;100
S0005;10;40;E0005;PRODUCT F;2022-10-11;10;41;2022 - W41;375;100
S0006;4;17;E0006;PRODUCT T;2022-10-11;10;41;2022 - W41;176;100
S0007;3;11;E0007;PRODUCT C;2022-10-13;10;41;2022 - W41;580;100
S0008;3;12;E0008;PRODUCT T;2022-10-13;10;41;2022 - W41;208;100
S0009;3;12;E0009;PRODUCT C;2022-11-10;11;45;2022 - W45;238;100
S0010;3;12;E0010;PRODUCT T;2022-10-25;10;43;2022 - W43;220;100
S0011;6;23;E0011;PRODUCT T;2022-10-13;10;41;2022 - W41;131;100
S0012;8;33;E0012;PRODUCT N;2022-10-17;10;42;2022 - W42;433;100
S0013;7;31;E0013;PRODUCT M;2022-10-13;10;41;2022 - W41;78;100
S0014;12;50;E0014;PRODUCT T;2022-10-12;10;41;2022 - W41;310;100
S0015;7;30;E0015;PRODUCT M;2022-10-11;10;41;2022 - W41;83;100
S0016;5;19;E0016;PRODUCT C;2022-10-13;10;41;2022 - W41;165;100
S0017;7;30;E0017;PRODUCT M;2022-10-11;10;41;2022 - W41;84;100
S0018;2;6;E0018;PRODUCT T;2022-10-16;10;41;2022 - W41;257;100
S0019;7;30;E0019;PRODUCT M;2022-10-11;10;41;2022 - W41;80;100
S0020;6;26;E0020;PRODUCT TH;2022-11-21;11;47;2022 - W47;149;100
S0021;6;26;E0021;PRODUCT TH;2022-10-17;10;42;2022 - W42;113;100
S0022;6;26;E0022;PRODUCT TH;2022-10-13;10;41;2022 - W41;109;100
S0023;6;26;E0023;PRODUCT TH;2022-10-17;10;42;2022 - W42;113;100
S0024;7;30;E0024;PRODUCT M;2022-10-12;10;41;2022 - W41;82;100
S0025;6;26;E0025;PRODUCT TH;2022-10-16;10;41;2022 - W41;113;100
S0026;5;20;E0026;PRODUCT N;2022-10-17;10;42;2022 - W42;160;100
S0027;3;12;E0027;PRODUCT C;2022-10-19;10;42;2022 - W42;216;100
S0028;6;26;E0028;PRODUCT TH;2022-10-16;10;41;2022 - W41;113;100
S0029;1;2;E0029;PRODUCT T;2022-10-20;10;42;2022 - W42;285;100
S0030;8;32;E0030;PRODUCT M;2022-10-17;10;42;2022 - W42;77;100
S0031;7;30;E0031;PRODUCT M;2022-10-17;10;42;2022 - W42;86;100
S0032;7;30;E0032;PRODUCT M;2022-10-17;10;42;2022 - W42;86;100
S0033;7;30;E0033;PRODUCT M;2022-10-17;10;42;2022 - W42;86;100
S0034;7;30;E0034;PRODUCT M;2022-10-18;10;42;2022 - W42;87;100
S0035;8;32;E0035;PRODUCT M;2022-10-19;10;42;2022 - W42;80;100
S0036;7;30;E0036;PRODUCT M;2022-10-14;10;41;2022 - W41;83;100
S0037;7;30;E0037;PRODUCT M;2022-10-17;10;42;2022 - W42;86;100
S0038;8;32;E0038;PRODUCT M;2022-10-17;10;42;2022 - W42;77;100
S0039;8;32;E0039;PRODUCT M;2022-10-17;10;42;2022 - W42;77;100
S0040;8;32;E0040;PRODUCT M;2022-10-19;10;42;2022 - W42;79;100
S0041;12;52;E0041;PRODUCT C;2022-10-19;10;42;2022 - W42;300;100
S0042;7;30;E0042;PRODUCT M;2022-10-18;10;42;2022 - W42;91;100
S0043;3;13;E0043;PRODUCT C;2022-10-19;10;42;2022 - W42;210;100
S0044;8;36;E0044;PRODUCT F;2022-10-18;10;42;2022 - W42;49;100
S0045;5;21;E0045;PRODUCT T;2022-10-27;10;43;2022 - W43;163;100
S0046;7;30;E0046;PRODUCT M;2022-10-19;10;42;2022 - W42;89;100
S0047;7;30;E0047;PRODUCT M;2022-10-20;10;42;2022 - W42;89;100
S0048;8;32;E0048;PRODUCT M;2022-10-21;10;42;2022 - W42;81;100
S0049;3;13;E0049;PRODUCT T;2022-10-20;10;42;2022 - W42;209;100
S0050;10;40;E0050;PRODUCT F;2022-10-21;10;42;2022 - W42;385;100
S0051;5;22;E0051;PRODUCT T;2022-10-26;10;43;2022 - W43;155;100
S0052;7;30;E0052;PRODUCT M;2022-10-25;10;43;2022 - W43;94;100
S0053;2;8;E0053;PRODUCT C;2022-10-24;10;43;2022 - W43;249;100
S0054;4;15;E0054;PRODUCT C;2022-10-26;10;43;2022 - W43;200;100
S0055;8;32;E0055;PRODUCT M;2022-10-21;10;42;2022 - W42;81;100
S0056;4;18;E0056;PRODUCT M;2022-10-21;10;42;2022 - W42;175;100
S0057;7;28;E0057;PRODUCT M;2022-10-20;10;42;2022 - W42;105;100
S0058;6;26;E0058;PRODUCT C;2022-10-26;10;43;2022 - W43;128;100
S0059;7;30;E0059;PRODUCT M;2022-10-25;10;43;2022 - W43;94;100
S0060;2;7;E0060;PRODUCT C;2022-10-25;10;43;2022 - W43;259;100
S0061;12;50;E0061;PRODUCT T;2022-10-25;10;43;2022 - W43;323;100
S0062;8;34;E0062;PRODUCT M;2022-10-24;10;43;2022 - W43;68;100
